Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2024-02-10 22:17:30,2024-02-11 22:58:31,UTC+01:00,2024-02-11 20:10:30,2024-02-11 21:01:29,50,Hiking/Rucking,12.3,473.0,175,129,11,17,26,36,4,false,,,
2024-02-10 22:17:30,2024-02-11 22:58:31,UTC+01:00,2024-02-11 14:45:00,2024-02-11 15:07:29,22,Walking,7.2,181.0,156,123,21,17,48,14,0,false,,,
2024-02-09 23:52:15,2024-02-10 22:17:30,UTC+01:00,2024-02-10 13:30:00,2024-02-10 14:08:59,38,Walking,9.7,309.0,192,121,6,32,28,12,5,false,,,
2024-02-06 22:19:32,2024-02-07 22:35:11,UTC+01:00,2024-02-07 18:58:30,2024-02-07 19:19:29,20,Activity,5.0,90.0,141,105,49,40,6,0,0,false,,,
2024-02-04 22:47:01,2024-02-05 22:20:12,UTC+01:00,2024-02-05 18:09:00,2024-02-05 19:08:59,59,Walking,13.7,533.0,181,127,25,12,13,30,14,false,,,
2024-02-04 22:47:01,2024-02-05 22:20:12,UTC+01:00,2024-02-05 17:18:00,2024-02-05 17:52:29,34,Hiking/Rucking,5.9,136.0,159,102,52,18,11,3,0,false,,,
2024-02-04 22:47:01,2024-02-05 22:20:12,UTC+01:00,2024-02-05 08:10:30,2024-02-05 08:31:29,20,Walking,5.7,117.0,148,111,30,37,21,2,0,false,,,
2024-01-28 21:56:38,2024-01-29 23:14:53,UTC-05:00,2024-01-29 12:31:30,2024-01-29 12:58:29,26,Activity,9.9,295.0,170,137,3,9,54,30,4,false,,,
2024-01-19 05:58:06,2024-01-20 00:45:34,UTC-05:00,2024-01-19 17:52:30,2024-01-19 18:22:29,29,Activity,10.3,295.0,173,130,5,18,27,38,4,false,,,
2024-01-19 05:58:06,2024-01-20 00:45:34,UTC-05:00,2024-01-19 13:24:00,2024-01-19 13:49:29,25,Activity,12.2,337.0,180,148,2,2,31,30,35,false,,,
2024-01-19 05:58:06,2024-01-20 00:45:34,UTC-05:00,2024-01-19 10:06:00,2024-01-19 12:34:29,148,Activity,19.6,1661.0,188,137,9,7,13,36,26,false,,,
2024-01-15 22:53:59,2024-01-16 23:04:52,UTC-05:00,2024-01-16 14:36:00,2024-01-16 14:55:29,19,Activity,5.2,99.0,133,109,38,57,5,0,0,false,,,
2024-01-13 00:59:39,2024-01-14 02:07:25,UTC-05:00,2024-01-13 10:40:33,2024-01-13 10:50:10,9,Running,5.7,94.0,160,131,1,10,78,9,0,true,1102.32,56.24,0.30
2024-01-05 23:57:20,2024-01-06 23:09:00,UTC-05:00,2024-01-06 12:43:30,2024-01-06 13:26:59,43,Activity,10.6,391.0,171,129,7,28,42,22,1,false,,,
2023-12-24 01:04:31,2023-12-24 23:45:19,UTC-05:00,2023-12-24 08:37:30,2023-12-24 09:22:29,44,Walking,8.8,329.0,158,121,10,35,43,9,0,false,,,
2023-12-22 00:00:00,2023-12-22 23:01:36,UTC-05:00,2023-12-22 21:10:30,2023-12-22 21:58:29,47,Activity,11.7,432.0,185,129,19,17,31,23,10,false,,,
2023-10-28 00:42:23,2023-10-29 00:05:53,UTC-05:00,2023-10-28 18:16:30,2023-10-28 19:34:29,77,Activity,17.5,944.0,194,143,14,3,4,31,44,false,,,
2023-10-17 00:47:29,2023-10-18 04:51:37,UTC-05:00,2023-10-17 16:52:30,2023-10-17 18:04:29,71,Activity,6.9,262.0,141,103,79,20,1,0,0,false,,,
2023-10-15 22:10:25,2023-10-17 00:47:29,UTC-05:00,2023-10-16 14:31:30,2023-10-16 15:04:29,32,Activity,10.1,341.0,181,135,2,12,52,31,3,false,,,
2023-10-14 00:42:16,2023-10-15 01:01:23,UTC-05:00,2023-10-14 15:07:30,2023-10-14 15:49:29,41,Activity,5.8,155.0,133,103,72,23,3,0,0,false,,,
2023-10-11 00:47:59,2023-10-12 01:25:31,UTC-05:00,2023-10-11 00:28:30,2023-10-11 00:47:59,19,Activity,5.4,117.0,129,114,13,86,1,0,0,false,,,
2023-10-10 01:31:54,2023-10-11 00:47:59,UTC-05:00,2023-10-10 21:48:00,2023-10-10 22:07:29,19,Activity,4.7,64.0,126,101,83,16,0,0,0,false,,,
2023-10-02 23:16:23,2023-10-04 00:25:37,UTC-05:00,2023-10-03 17:24:00,2023-10-03 17:52:29,28,Activity,9.4,204.0,189,119,58,10,6,10,16,false,,,
2023-10-02 00:34:49,2023-10-02 23:16:23,UTC-05:00,2023-10-02 18:57:00,2023-10-02 19:55:29,58,Activity,5.9,168.0,128,98,87,10,0,0,0,false,,,
2023-09-27 00:00:00,2023-09-27 23:34:53,UTC-05:00,2023-09-27 22:12:00,2023-09-27 22:31:29,19,Activity,4.9,80.0,134,106,43,48,5,0,0,false,,,
