Date,Asleep,SWS,REM,Respiratory rate (rpm),Sleep need (min),Sleep performance %
2024-05-07,7:23,1:46,3:20,15.8,10:05,73.0
2024-05-06,7:34,1:41,2:10,15.7,10:17,74.0
2024-05-05,7:00,1:27,1:35,16.0,9:57,70.0
2024-05-04,5:01,1:30,1:13,16.3,10:22,48.0
2024-05-02,5:57,1:08,1:33,16.1,9:56,60.0
2024-04-22,6:44,1:15,2:30,16.8,10:12,66.0
2024-04-21,2:20,0:37,0:57,16.3,8:09,29.0
2024-04-20,6:20,1:35,2:22,16.3,5:56,100.0
2024-04-19,2:19,0:37,1:05,16.7,10:05,23.0
2024-04-17,3:11,0:20,0:51,16.3,8:44,37.0
2024-04-16,7:23,1:17,2:00,16.5,9:04,81.0
2024-04-15,6:10,1:48,2:06,16.1,8:51,70.0
2024-04-14,7:35,1:35,1:53,16.0,8:42,87.0
2024-04-13,6:24,1:59,1:27,16.3,8:27,76.0
2024-04-12,6:58,1:59,1:58,16.2,9:16,75.0
2024-04-11,5:53,1:25,1:50,15.6,9:00,65.0
2024-04-10,6:13,1:16,1:47,16.2,8:33,73.0
2024-04-09,7:35,1:39,2:19,15.8,8:55,85.0
2024-04-08,7:07,1:25,2:09,15.6,8:35,83.0
2024-04-07,6:27,1:14,1:02,15.8,7:50,82.0
2024-04-06,6:58,1:35,2:01,15.5,8:52,79.0
2024-04-05,7:47,1:20,1:28,16.1,8:54,87.0
2024-04-04,7:22,1:37,2:18,15.9,8:36,86.0
2024-04-03,6:40,1:41,1:42,15.8,7:58,84.0
2024-04-02,6:08,1:34,2:33,16.1,9:00,68.0
2024-03-31,7:18,1:54,2:14,15.5,10:03,73.0
2024-03-30,4:36,1:14,1:13,16.1,8:43,53.0
2024-03-29,4:18,1:00,0:47,15.9,6:31,66.0
2024-03-28,7:54,1:38,3:01,16.1,7:50,100.0
2024-03-27,7:58,1:22,3:28,16.0,7:53,100.0
2024-03-26,7:49,1:46,2:04,16.0,8:05,97.0
2024-03-25,7:59,1:46,2:11,15.8,8:06,99.0
2024-03-20,3:15,0:25,0:38,16.6,8:06,40.0
2024-03-19,6:26,0:51,1:04,16.8,7:15,89.0
2024-03-18,6:41,1:00,2:33,16.2,9:00,74.0
2024-03-17,6:57,1:02,1:34,16.3,8:39,81.0
2024-03-16,8:19,1:44,2:28,16.2,9:20,89.0
2024-03-15,3:22,0:51,0:06,16.2,8:10,41.0
2024-03-14,6:19,1:27,1:59,16.0,9:18,68.0
2024-03-13,5:51,1:07,1:50,15.9,9:07,64.0
2024-03-12,6:13,1:51,2:14,16.5,9:09,68.0
2024-03-11,6:47,1:21,1:04,16.3,9:36,71.0
2024-03-10,5:47,1:22,2:20,15.6,8:31,68.0
2024-03-09,7:01,0:56,2:18,15.8,8:53,79.0
2024-03-08,6:16,1:32,1:34,16.5,8:46,71.0
2024-03-07,6:04,1:28,1:08,16.7,8:14,74.0
2024-03-06,7:07,1:01,2:03,16.2,8:01,89.0
2024-03-05,7:59,0:52,2:05,15.9,8:33,93.0
2024-03-04,7:20,1:46,2:28,16.2,8:12,89.0
2024-03-03,7:42,1:26,1:43,16.5,8:36,90.0
2024-03-02,6:05,1:33,1:33,16.6,7:16,84.0
2024-03-01,7:02,1:30,2:16,16.5,7:42,91.0
2024-02-29,8:30,1:41,2:03,16.5,7:37,100.0
2024-02-28,6:21,1:14,2:23,17.1,7:47,82.0
2024-02-27,5:58,0:56,2:05,16.6,7:45,77.0
2024-02-26,3:59,0:44,0:29,16.2,9:41,41.0
2024-02-25,3:55,1:10,1:07,16.7,7:52,50.0
2024-02-24,7:35,1:42,2:06,17.2,6:17,100.0
2024-02-23,4:14,0:48,1:20,16.9,6:31,65.0
2024-02-22,6:42,1:00,1:40,16.9,6:59,96.0
2024-02-21,6:50,1:20,2:18,16.6,7:33,90.0
2024-02-20,5:04,0:56,1:01,16.8,8:46,58.0
2024-02-19,6:41,1:04,2:00,17.0,7:44,87.0
2024-02-18,6:42,1:33,2:26,17.2,9:48,68.0
2024-02-17,6:25,1:38,1:03,17.1,9:26,68.0
2024-02-16,6:38,1:18,1:30,17.1,9:58,67.0
2024-02-15,7:01,1:22,2:25,16.6,10:08,69.0
2024-02-14,4:23,1:01,1:46,16.6,9:33,46.0
2024-02-13,7:08,1:24,1:38,17.1,9:07,78.0
2024-02-12,7:10,1:10,2:27,16.8,9:13,78.0
2024-02-11,7:21,1:14,2:04,17.1,9:22,79.0
2024-02-10,8:09,1:46,2:22,17.1,9:54,82.0
2024-02-09,5:45,1:16,1:19,17.0,8:26,68.0
2024-02-08,7:09,1:49,2:22,16.8,9:09,78.0
2024-02-07,5:18,1:36,1:14,16.2,10:04,53.0
2024-02-06,6:48,1:21,1:12,15.9,10:05,67.0
2024-02-05,5:45,1:37,1:29,16.7,10:07,57.0
2024-02-04,6:05,0:56,0:57,16.6,9:37,63.0
