2024-09-14,3000
2024-09-13,3000
2024-09-12,0
2024-09-11,0
2024-09-10,0
2024-09-09,2000
2024-09-08,3000
2024-09-07,0
2024-09-06,3000
2024-09-05,5000
2024-09-04,2000
2024-09-03,3000
2024-09-02,0
2024-09-01,3000
2024-08-31,5000
2024-08-30,2000
2024-08-29,0
2024-08-27,1000
2024-08-26,3000
2024-08-25,4000
2024-08-24,4000
2024-08-23,5000
2024-08-22,4000
2024-08-21,2000
2024-08-20,4000
2024-08-19,3000
2024-08-18,2000
2024-08-17,2000
2024-08-16,1000
2024-08-15,2000
2024-08-14,0
2024-08-13,0
2024-08-12,0
2024-08-11,0
2024-08-10,3000
2024-08-09,0
2024-08-08,2000
2024-08-07,2000
2024-08-06,1000
2024-08-05,4000
2024-08-04,2000
2024-08-03,2000
2024-08-02,5000
2024-08-01,0
2024-07-31,4000
2024-07-30,3000
2024-07-29,3000
2024-07-28,5000
2024-07-27,5000
2024-07-26,5000
2024-07-25,5000
2024-07-24,0
2024-07-23,4000
2024-07-22,1000
2024-07-21,4000
2024-07-20,2000
2024-07-19,4000
2024-07-18,4000
2024-07-17,3000
2024-07-16,2000
2024-07-15,2000
2024-07-14,1000
2024-07-13,1000
2024-07-12,2000
2024-07-11,1000
2024-07-10,3000
2024-07-09,3000
2024-07-08,0
